cve_id,base_severity,base_score,exploitability_score,impact_score,epss_score,epss_perc,cisa_kev,attack_vector,attack_complexity,privileges_required,user_interaction,scope,confidentiality_impact,integrity_impact,availability_impact,published_date
CVE-1999-0199,CRITICAL,9.8,3.9,5.9,0.00677,0.70539,FALSE,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2020-10-06T13:15Z
CVE-2002-20001,HIGH,7.5,3.9,3.6,0.11632,0.93382,FALSE,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,2021-11-11T19:15Z
CVE-2002-2438,HIGH,7.5,3.9,3.6,0.04663,0.8888,FALSE,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,2021-05-18T12:15Z
CVE-2002-2439,HIGH,7.8,1.8,5.9,0.00137,0.34244,FALSE,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-10-23T18:15Z
CVE-2002-2444,CRITICAL,9.8,3.9,5.9,0.00476,0.63885,FALSE,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-10-28T14:15Z
CVE-2003-1605,HIGH,7.5,3.9,3.6,0.00399,0.59825,FALSE,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,2018-08-23T19:29Z
CVE-2003-5001,CRITICAL,9.8,3.9,5.9,0.00316,0.54089,FALSE,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2022-03-28T21:15Z
CVE-2003-5002,MEDIUM,5.3,3.9,1.4,0.00142,0.34935,FALSE,NETWORK,LOW,NONE,NONE,UNCHANGED,LOW,NONE,NONE,2022-03-28T21:15Z
CVE-2003-5003,MEDIUM,6.1,2.8,2.7,0.00279,0.50916,FALSE,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2022-03-28T21:15Z
CVE-2004-2776,CRITICAL,9.8,3.9,5.9,0.02219,0.83799,FALSE,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-12-31T20:15Z
CVE-2004-2779,HIGH,7.5,3.9,3.6,0.00436,0.62051,FALSE,NETWORK,LOW,NONE,NONE,UNCHANGED,NONE,NONE,HIGH,2018-02-20T21:29Z
CVE-2005-10001,MEDIUM,6.1,2.8,2.7,0.002,0.42314,FALSE,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2022-03-28T21:15Z
CVE-2005-10002,CRITICAL,9.8,3.9,5.9,0.00202,0.42551,FALSE,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2023-10-29T15:15Z
CVE-2005-10003,CRITICAL,9.8,3.9,5.9,0.01387,0.79528,FALSE,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2024-10-17T14:15Z
CVE-2005-2349,HIGH,7.5,3.9,3.6,0.00355,0.57004,FALSE,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,NONE,NONE,2019-10-28T14:15Z
CVE-2005-2350,MEDIUM,6.1,2.8,2.7,0.00429,0.61621,FALSE,NETWORK,LOW,NONE,REQUIRED,CHANGED,LOW,LOW,NONE,2019-11-01T18:15Z
CVE-2005-2351,MEDIUM,5.5,1.8,3.6,0.00132,0.33552,FALSE,LOCAL,LOW,LOW,NONE,UNCHANGED,NONE,NONE,HIGH,2019-11-01T19:15Z
CVE-2005-2352,HIGH,8.1,2.2,5.9,0.00324,0.54754,FALSE,NETWORK,HIGH,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-11-01T21:15Z
CVE-2005-2354,CRITICAL,9.8,3.9,5.9,0.0051,0.65331,FALSE,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-11-05T20:15Z
CVE-2005-3056,CRITICAL,9.8,3.9,5.9,0.01901,0.82466,FALSE,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-11-01T13:15Z
CVE-2005-3590,CRITICAL,9.8,3.9,5.9,0.00492,0.64593,FALSE,NETWORK,LOW,NONE,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-04-10T20:29Z
CVE-2005-4890,HIGH,7.8,1.8,5.9,0.00163,0.37705,FALSE,LOCAL,LOW,LOW,NONE,UNCHANGED,HIGH,HIGH,HIGH,2019-11-04T19:15Z
